sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
321	17	her,	32117	-11.5871	8.8067	0.45032358	6.8687	0.20014238	6.7411	0.07917833	6.9289	0.24435282	7.7564	0.44554758	5.3288	0.75322437	3.689	0.80666113	2.0592	1.45652199	1.9543	1.66230011
321	18	and	32118	-14.5388	3.8332	0.44982481	4.001	0.19748735	4.0165	0.05647993	2.8952	0.2712512	2.2515	0.53508568	1.7679	1.05113125	1.9749	1.09475517	1.685	1.24855471	1.8086	1.28906822
321	19	announced	32119	-8.4676	10.7175	0.45000744	10.8625	0.19834995	10.328	0.06730843	9.9709	0.28876734	9.6067	0.37292433	9.9408	0.79075241	9.1956	1.54312754	10.2738	1.6482358	10.8736	1.75391197
321	20	that	32120	-14.0036	4.4424	0.44907284	4.7074	0.19875813	4.6199	0.07487297	4.4343	0.07624006	4.6352	0.18058157	3.6776	0.83586884	2.8264	1.11352921	2.5001	1.62696648	2.1376	1.57798004
321	21	we	32121	-13.3681	5.2078	0.44899893	5.379	0.19735146	5.5826	0.0652051	4.3065	0.29857445	4.031	0.39869165	3.6932	0.61665821	4.4333	1.70512486	5.7697	2.35838485	5.3802	2.83303022
321	22	should	32122	-11.9023	8.3842	0.449265	6.4462	0.19817066	6.6504	0.07308769	5.5748	0.96257925	4.2571	1.7928195	4.2239	2.22516727	4.6708	2.99059653	5.131	3.01014185	4.5051	2.84573126
321	23	talk	32123	-10.0225	10.1426	0.44957161	9.4281	0.19886875	8.6005	0.0830822	8.2401	0.49618053	6.9654	2.09413385	6.9174	1.97173882	5.991	2.02814627	5.8358	2.1938386	5.5433	2.19773102
322	1	He	32201	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
322	2	stood	32202	-8.1342	9.2643	0.94812202	9.8535	0.24023342	10.3341	0.14569187	10.2002	0.49843979	9.6658	1.73223209	7.3125	2.20994139	6.647	2.35064507	6.7702	2.41007423	6.9586	2.41364861
322	3	over	32203	-11.5252	8.445	0.72876453	6.9709	0.18256617	7.0543	0.08120441	6.8558	0.10100269	6.1627	0.2397871	5.1216	1.06981564	4.2817	1.95345736	4.3435	1.91442919	4.8366	2.07157183
322	4	the	32204	-15.3366	3.3856	0.60451317	3.1712	0.16707277	3.4669	0.06292725	2.4042	0.09911728	1.4951	0.61203957	1.6242	0.74389648	1.5356	0.89889669	1.6294	1.04432631	1.8789	1.07214713
322	5	small	32205	-10.5626	9.43	0.54074383	8.5639	0.17765522	7.8758	0.36400032	6.5634	0.9718132	7.0252	1.26383591	7.4781	1.49132824	7.8075	1.9785409	8.6057	2.54265261	8.5132	3.15254498
322	6	sofa	32206	-6.7968	9.7802	0.50460243	10.3835	0.18026495	10.4059	0.13573933	10.7922	0.2445755	10.4811	0.70728731	9.9624	0.96162271	8.8788	1.54716587	7.8542	2.18495464	7.5987	2.44327927
322	7	at	32207	-12.8976	5.9709	0.48376894	5.5174	0.18492985	5.5127	0.08449554	4.9335	0.18119621	5.2674	0.37499619	4.3834	0.67199898	4.0861	0.84770012	4.0642	1.08340764	4.0913	1.15474319
322	8	the	32208	-15.3366	3.1382	0.47122717	3.4356	0.1896019	3.1911	0.07124949	1.5349	0.36606121	1.1674	0.95488024	1.0176	1.3392601	0.7708	1.78196049	0.7589	1.88289046	0.7166	1.95774341
322	9	other	32209	-11.9334	8.461	0.46508789	6.8835	0.2013011	6.7721	0.37391472	5.4702	0.98792267	4.9663	1.29636955	5.7286	1.77410412	6.3363	2.60430098	5.4483	2.95659256	4.9889	3.16888905
322	10	end	32210	-10.8436	9.4697	0.45878124	8.3618	0.19787598	7.4943	0.13017511	6.5271	0.38952112	6.7738	0.89682913	5.8422	1.22287416	3.1502	1.84362555	1.906	2.55287933	1.8887	2.81970024
322	11	of	32211	-14.4818	3.7348	0.45621777	4.0063	0.19853544	3.9107	0.084723	2.5898	0.47923374	0.8137	1.4416914	1.2853	1.23542809	1.0652	1.59972501	0.7518	1.96690476	0.614	2.11171794
322	12	his	32212	-11.9165	7.9838	0.45377302	6.7451	0.1979866	6.7526	0.07208872	6.0643	0.50169945	5.1487	0.81327963	3.4585	1.05183697	3.6691	1.72936678	2.553	2.21819997	2.6931	2.35089397
322	13	office	32213	-9.9498	9.4696	0.45257187	9.2675	0.19925404	8.7229	0.07807016	7.8172	0.49394226	7.1071	1.14294052	6.9865	1.57693195	6.2738	2.18835497	6.4005	2.52903366	6.2617	2.85975218
322	14	and	32214	-14.5388	3.8437	0.45206547	4.0126	0.19955683	3.9468	0.0821104	2.8353	0.36743164	2.9799	0.56274986	2.5888	1.01422691	2.8607	1.43808937	2.7246	1.35279846	2.5357	1.33822751
